cell,pde,dist,setting,task,field,n,cocogen,fm4pde,paired_difference,ratio,smaller_error_fraction
darcy/id/full_forward,darcy,id,full_forward,forward,u,1000,0.006988410493747866,0.07775503908366665,-0.07076662858991878,0.08987726809870336,1.0
darcy/id/full_inverse,darcy,id,full_inverse,inverse,a,1000,0.491599166681047,0.19048160651829874,0.30111756016274827,2.5808222414053463,0.0
darcy/id/sparse_forward,darcy,id,sparse_forward,forward,u,1000,0.19986911811538266,0.08279334671570818,0.11707577139967448,2.4140722176829454,0.059
darcy/id/sparse_inverse,darcy,id,sparse_inverse,inverse,a,1000,0.6242992775437657,0.19880822453320066,0.42549105301056506,3.1402085050033164,0.0
darcy/id/sparse_joint,darcy,id,sparse_joint,both,a,1000,0.5302547822544413,0.26067996009356226,0.2695748221608791,2.034121771631867,0.002
darcy/id/sparse_joint,darcy,id,sparse_joint,both,u,1000,0.16101747091641086,0.04150811009243177,0.11950936082397907,3.8791809734977405,0.0
darcy/rough/full_forward,darcy,rough,full_forward,forward,u,1000,0.007411134682715628,0.12464959473409308,-0.11723846005137746,0.05945574631450124,1.0
darcy/rough/full_inverse,darcy,rough,full_inverse,inverse,a,1000,0.5553816444799687,0.3825735845211394,0.1728080599588294,1.4516988808182618,0.001
darcy/rough/sparse_forward,darcy,rough,sparse_forward,forward,u,1000,0.179971653704551,0.12873412026881492,0.05123753343573609,1.3980105144521509,0.21
darcy/rough/sparse_inverse,darcy,rough,sparse_inverse,inverse,a,1000,0.6269058098728624,0.38960112371333455,0.23730468615952782,1.6090965136284738,0.0
darcy/rough/sparse_joint,darcy,rough,sparse_joint,both,a,1000,0.5614786951424598,0.4091326387603328,0.15234605638212712,1.3723634878990194,0.004
darcy/rough/sparse_joint,darcy,rough,sparse_joint,both,u,1000,0.14809812809898357,0.06480017433281024,0.08329795376617334,2.2854587911810156,0.003
darcy/smooth/full_forward,darcy,smooth,full_forward,forward,u,1000,0.00695874230725104,0.05686894999818505,-0.04991020769093401,0.12236452945716644,0.998
darcy/smooth/full_inverse,darcy,smooth,full_inverse,inverse,a,1000,0.46842824004468,0.10550855367052189,0.36291968637415806,4.439718143682169,0.0
darcy/smooth/sparse_forward,darcy,smooth,sparse_forward,forward,u,1000,0.20624539082582694,0.06133453124683848,0.14491085957898847,3.362630913339832,0.019
darcy/smooth/sparse_inverse,darcy,smooth,sparse_inverse,inverse,a,1000,0.6239723622785829,0.11152910382795693,0.512443258450626,5.594704349468395,0.0
darcy/smooth/sparse_joint,darcy,smooth,sparse_joint,both,a,1000,0.5191841699205579,0.1928339648170595,0.32635020510349844,2.6923896441848565,0.0
darcy/smooth/sparse_joint,darcy,smooth,sparse_joint,both,u,1000,0.16573984086534843,0.029641270436435704,0.13609857042891274,5.591522847199469,0.0
poisson/id/full_forward,poisson,id,full_forward,forward,u,1000,0.061970340112382415,0.07988018867548542,-0.01790984856310301,0.7757911084078424,0.702
poisson/id/full_inverse,poisson,id,full_inverse,inverse,a,1000,0.3042058942686812,0.2454804535265956,0.05872544074208563,1.239226544918059,0.06
poisson/id/sparse_forward,poisson,id,sparse_forward,forward,u,1000,0.48048789947196124,0.10149484516710883,0.3789930543048525,4.734111359851325,0.003
poisson/id/sparse_inverse,poisson,id,sparse_inverse,inverse,a,1000,0.7674410223772838,0.24544033337791174,0.522000688999372,3.1267926172330944,0.0
poisson/id/sparse_joint,poisson,id,sparse_joint,both,a,1000,0.30172967056369887,0.18777368869290617,0.11395598187079269,1.6068793911651893,0.001
poisson/id/sparse_joint,poisson,id,sparse_joint,both,u,1000,0.09266653472828602,0.056710723665147796,0.03595581106313823,1.6340213761940632,0.062
poisson/rough/full_forward,poisson,rough,full_forward,forward,u,1000,0.08850159147075216,0.07946777182309726,0.009033819647654897,1.1136790354178425,0.359
poisson/rough/full_inverse,poisson,rough,full_inverse,inverse,a,1000,0.494495067347554,0.4929257550092082,0.0015693123383457377,1.0031836687825664,0.494
